ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0048285	organelle fission	36/140	449/18670	4.65094E-27	5.60837E-24	4.45466E-24	BUB1/BUB1B/CENPF/RCC1/FANCD2/INCENP/KIF11/KIFC1/MAPT/MYBL2/PLK1/RAD51/RAN/TTK/RAD54L/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/OBSL1/NCAPH/NUP62/RACGAP1/WRAP73/NUSAP1/SIRT7/CDCA8/NDC1/CEP85/CCDC8/CDCA5/LRRK2/CHMP4B	36
BP	GO:0140014	mitotic nuclear division	30/140	264/18670	5.00524E-27	5.60837E-24	4.45466E-24	BUB1/BUB1B/CENPF/RCC1/INCENP/KIF11/KIFC1/MYBL2/PLK1/RAN/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/OBSL1/NCAPH/NUP62/RACGAP1/WRAP73/NUSAP1/SIRT7/CDCA8/CEP85/CCDC8/CDCA5/CHMP4B	30
BP	GO:0000280	nuclear division	34/140	407/18670	3.96897E-26	2.96482E-23	2.35492E-23	BUB1/BUB1B/CENPF/RCC1/FANCD2/INCENP/KIF11/KIFC1/MYBL2/PLK1/RAD51/RAN/TTK/RAD54L/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/OBSL1/NCAPH/NUP62/RACGAP1/WRAP73/NUSAP1/SIRT7/CDCA8/NDC1/CEP85/CCDC8/CDCA5/CHMP4B	34
BP	GO:0007059	chromosome segregation	31/140	321/18670	9.79831E-26	5.4895E-23	4.36025E-23	BUB1/BUB1B/CDC42/CENPF/RCC1/ECT2/FANCD2/INCENP/KIFC1/PLK1/RAN/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/OIP5/NCAPH/NUP62/RACGAP1/NUSAP1/MIS18A/CDCA8/HJURP/NDC1/CEP85/CDCA5/CHMP4B	31
BP	GO:0000070	mitotic sister chromatid segregation	22/140	151/18670	2.21824E-22	9.94216E-20	7.89694E-20	BUB1/BUB1B/CENPF/INCENP/KIFC1/PLK1/RAN/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/NCAPH/NUP62/RACGAP1/NUSAP1/CDCA8/CDCA5/CHMP4B	22
BP	GO:0098813	nuclear chromosome segregation	26/140	262/18670	6.11234E-22	2.28296E-19	1.81333E-19	BUB1/BUB1B/CDC42/CENPF/ECT2/FANCD2/INCENP/KIFC1/PLK1/RAN/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/NCAPH/NUP62/RACGAP1/NUSAP1/CDCA8/NDC1/CDCA5/CHMP4B	26
BP	GO:0000819	sister chromatid segregation	22/140	189/18670	3.43645E-20	1.10015E-17	8.7384E-18	BUB1/BUB1B/CENPF/INCENP/KIFC1/PLK1/RAN/TTK/AURKB/KIF23/ESPL1/DLGAP5/KIF14/KIF2C/ZWINT/NCAPH/NUP62/RACGAP1/NUSAP1/CDCA8/CDCA5/CHMP4B	22
BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis	18/140	131/18670	5.3089E-18	1.48716E-15	1.18123E-15	CENPA/RCC1/KIF11/KIFC1/MYBL2/PLK1/RAN/STIL/TTK/AURKB/KIF23/ESPL1/NUP62/RACGAP1/WRAP73/NUSAP1/CHMP4B/WDR62	18
BP	GO:0006260	DNA replication	22/140	274/18670	1.0828E-16	2.69618E-14	2.14154E-14	DHX9/MSH6/MCM2/MCM3/MCM4/MCM5/MCM6/NASP/TONSL/ORC1/RAC1/RAD51/TIMELESS/EXO1/WDHD1/ORC6/DTL/RFWD3/CLSPN/PIF1/TICRR/ZBTB38	22
BP	GO:0007051	spindle organization	18/140	170/18670	6.06603E-16	1.3594E-13	1.07975E-13	RCC1/KIF11/KIFC1/MYBL2/PLK1/RAN/STIL/TTK/AURKB/KIF23/ESPL1/NUP62/RACGAP1/WRAP73/AUNIP/CHMP4B/TUBB/WDR62	18
